review_id,movie_id,content,review_date,reviewer_name,rating
1,1,Best movie I've seen in years! Network trade prove manage.,27-08-2024 10:12,Amy Williamson,5
2,1,Waste of time and money. Put one but someone.,25-11-2024 19:27,Cassandra Richard,1
3,1,Could have been better. Write soldier maybe possible participant available.,19-04-2024 10:40,Johnny Golden,2
4,1,Waste of time and money. Level describe story relate also standard.,27-03-2024 04:55,Dr. John Larson,1
5,1,"Some good moments, but overall meh. Avoid stuff movie turn single boy.",23-01-2025 02:22,John Stone,3
6,1,Terrible movie! Car voice candidate.,28-08-2024 07:54,Steven Long,1
7,1,Absolutely amazing! Pretty leg speak and matter budget million.,05-01-2025 19:57,Michael Case,5
8,1,Great movie with some minor flaws. Born mean ever federal majority including.,27-10-2024 22:06,Katherine Summers,4
9,1,Great movie with some minor flaws. Pass eat bar newspaper nation evening very.,31-10-2024 14:31,Anthony Manning,4
10,1,Terrible movie! Security he for risk impact value.,05-05-2024 00:09,Thomas Price,1
11,1,Absolutely amazing! Write know term life something.,10-07-2024 05:08,Alison Mcintosh,5
12,1,Waste of time and money. Machine but structure there organization.,28-07-2024 08:18,Angela Cline,1
13,1,Absolutely amazing! Amount admit myself life.,06-06-2024 09:38,Thomas White,5
14,1,Terrible movie! Sense necessary music beyond.,12-10-2024 18:33,Heather Diaz,1
15,1,"Decent, but forgettable. Issue right we.",05-09-2024 05:46,Robert Arnold,3
16,1,Could have been better. Experience difference ok discover decision suffer.,30-07-2024 19:36,Michael Livingston,2
17,1,Masterpiece! Rise few song partner lay.,23-10-2024 17:21,Kelly Ford,5
18,1,Really enjoyed it! Per sport material morning site adult green.,07-02-2025 06:19,Cody Elliott,4
19,1,Really enjoyed it! Right record quality student drug.,12-10-2024 08:50,Abigail Butler,4
20,1,Best movie I've seen in years! Structure board total within beautiful point.,07-11-2024 10:03,Brian Jackson,5
21,1,Disappointing. Democratic green ground between close low them.,01-12-2024 10:15,Cynthia Walsh,2
22,1,Waste of time and money. Century race within worker reduce.,14-03-2024 23:12,Julian Blackwell,1
23,1,Not worth the ticket price. Them beautiful clear relate discover expect.,24-12-2024 12:16,Heidi Yates,2
24,1,Great movie with some minor flaws. Unit thing information create task.,19-02-2025 13:13,Robert Johnson,4
25,1,Best movie I've seen in years! Anyone current door around career receive bad.,26-01-2025 12:09,Kathleen Pierce,5
26,1,Would recommend to friends. Pick positive owner me under discover part.,25-03-2024 12:34,Ashley Phillips,4
27,1,Would recommend to friends. Total interest professor sport bed the which worker.,31-12-2024 14:43,Lance West,4
28,1,Would recommend to friends. Leave appear enter there other thing.,18-03-2024 19:40,Kenneth Carter,4
29,1,Disappointing. Whether avoid election expect book sound effect building.,14-10-2024 01:43,Alec Gordon Jr.,2
30,1,Would recommend to friends. Pressure cost usually what.,24-06-2024 09:24,Marcus Martin,4
31,1,Great movie with some minor flaws. Visit population as.,17-06-2024 17:12,Steven White,4
32,1,Worst movie I've seen this year. Nor treatment high life energy when.,20-10-2024 02:18,Joseph Johnson,1
33,1,Great movie with some minor flaws. Miss glass necessary mouth eight order.,08-02-2025 06:11,Michael Lambert,4
34,1,Waste of time and money. Resource couple PM defense my answer.,17-01-2025 08:41,Paul Collins,1
35,1,Best movie I've seen in years! Run such partner improve.,17-08-2024 05:14,Teresa Hicks,5
36,1,Masterpiece! Easy others leg still development cut course catch.,03-01-2025 20:12,Colleen Ford,5
37,1,"Some good moments, but overall meh. Herself rise deal.",25-03-2024 08:16,Anna Hampton,3
38,1,Best movie I've seen in years! Present rate son to one month walk year.,07-01-2025 05:33,Sydney Smith,5
39,1,Not worth the ticket price. World trip too born focus direction.,18-10-2024 14:34,Brittany Jackson,2
40,1,Great movie with some minor flaws. Act some dark deep.,11-08-2024 17:49,Michael Gonzales,4
41,1,Absolutely amazing! Apply require stand.,10-03-2025 01:31,Paul Stein,5
42,1,"Some good moments, but overall meh. Along participant return indicate option hot.",19-09-2024 10:04,Elizabeth Arnold,3
43,1,"Some good moments, but overall meh. Fast ground commercial lay speak window on.",31-03-2024 21:46,Lisa Caldwell,3
44,1,"Decent, but forgettable. Floor plant ability sure various.",04-06-2024 22:34,Michael Sharp,3
45,1,Average movie. Per nor doctor might five strategy relationship history.,02-07-2024 20:50,Timothy Wang,3
46,1,Absolutely amazing! Entire prepare spend decade cause great join.,08-12-2024 00:53,Dave Swanson,5
47,1,Masterpiece! Just arm later speak subject ahead building table.,11-04-2024 05:15,Peter Horton,5
48,1,"Some good moments, but overall meh. Reduce somebody organization vote.",19-04-2024 10:46,Kristin Manning,3
49,1,"Decent, but forgettable. Trip film business none pass game.",28-05-2024 02:57,Marcus Trujillo,3
50,1,Best movie I've seen in years! Wonder involve knowledge several garden.,19-02-2025 21:24,Suzanne Jones,5
51,1,Great movie with some minor flaws. Population determine year certainly.,29-05-2024 20:15,Norman Martin,4
52,1,Waste of time and money. Late dark impact movement certain smile.,26-04-2024 09:48,Michael Estes,1
53,1,Would recommend to friends. Approach theory as.,25-12-2024 23:09,Kellie Anderson,4
54,1,"Decent, but forgettable. Measure blue view.",24-10-2024 08:24,Kevin Graham,3
